Region,Year,"Number_thousands","Median_income_Current_dollars","Median_income_2023_dollars","Mean_income_Current_dollars","Mean_income_2023_dollars"
South,2010 (37),"44,910","45,440","61,540","63,310","85,740"
South,2009 (36),"43,610","45,620","62,620","62,690","86,060"
South,2008,"43,420","45,590","62,340","63,360","86,640"
South,2007,"43,060","46,190","65,470","63,000","89,310"
South,2006,"42,590","43,880","63,800","61,960","90,080"
South,2005,"41,810","42,140","63,040","58,660","87,760"
South,2004 (35),"41,220","40,750","62,720","56,440","86,890"
South,2003,"40,740","39,820","62,840","54,500","85,990"
South,2002,"40,110","39,520","63,660","54,060","87,080"
South,2001,"39,150","38,900","63,450","54,050","88,140"
South,2000 (30),"38,850","38,390","64,020","52,820","88,080"
South,1999 (29),"37,970","37,350","64,430","50,660","87,390"
South,1998,"36,960","35,800","63,030","48,280","85,020"
South,1997,"36,580","34,350","61,300","46,400","82,820"
South,1996,"35,690","32,420","59,110","43,930","80,090"
South,1995 (25),"35,140","30,940","57,900","41,280","77,240"
South,1994 (24),"34,770","30,020","57,510","39,990","76,600"
South,1993 (23),"33,900","28,440","55,670","38,250","74,870"
South,1992 (22),"33,650","27,610","55,380","35,620","71,460"
South,1991,"33,070","27,180","55,900","34,690","71,340"
South,1990,"32,310","26,940","57,430","34,180","72,860"
South,1989,"32,260","25,870","57,830","33,230","74,280"
South,1988,"31,880","24,610","57,420","31,350","73,150"
South,1987 (21),"31,060","23,970","57,990","30,380","73,510"
South,1986,"30,620","22,580","56,480","28,850","72,160"
South,1985 (20),"30,310","21,400","54,400","27,040","68,760"
South,1984 (19),"29,580","20,620","54,220","26,200","68,890"
South,1983,"28,810","19,390","53,100","24,230","66,380"
South,1982,"28,120","18,590","53,060","23,210","66,230"
South,1981,"27,930","17,340","52,490","21,600","65,390"
South,1980,"27,220","16,300","54,040","19,700","65,330"
South,1979 (18),"26,610","14,970","55,110","18,080","66,570"
South,1978,"24,740","13,660","55,040","16,650","67,120"
